状元茶	配方	冰糖６０克
短柱铁线莲	种	短柱铁线莲
高原唐松草	纲	双子叶植物纲
胧月（景天科植物名称）	界	植物界
链霉菌ETH625	分类	细菌--放线菌
石栗	目	大戟目
单叶石仙桃	种	单叶石仙桃
小精灵鱼	分布区域	南美洲巴西东南部地区
单叶厚唇兰	门	被子植物门
康定毛茛	拉丁学名	Ranunculus dielsianus Ulbr.
光序乌头	目	毛莨目(Ranunculales)
白纷舟蛾	亚科	蚁舟蛾亚科
桃（蔷薇科桃属植物）	英文名称﻿	Peach Tree
闽克萤叶甲	中文学名	闽克萤叶甲
灰平链霉菌SF-1739	性质	气丝丰茂
鳗鲡	中文学名	鳗鲡
斑头雁	别名	白头雁
酸苔菜	组	高木组 Sect. Tinus (Burm.) Mez
短滨螺	纲	腹足纲
黑长颈卷叶象鼻虫	中文学名	黑长颈卷叶象鼻虫
绿翅鸭	亚种	3亚种
蛋黄果（山榄科蛋黄果属植物）	英文名称	Egg yolk fruit
加州鲈鱼	英文名称	Black Bass
绿尾虹雉	中文学名	绿尾虹雉
灰背叶柯	别称	粉背椆
铜绿菇	俗名别名	青脸菌、紫菌（四川）、铜绿红菇
朋闪夜蛾	界	动物界
帚枝唐松草	命名者及年代	Hook.f. & Thomson, 1855
梅树	门	双子叶植物门
棕颈钩嘴鹛滇东亚种	目	雀形目
Win32.Troj.StartPage.mc	威胁级别	★★
螺旋菌	目	弯曲菌目
扬子铁线莲	目	毛茛目
长柄乌头	分布区域	西藏自治区
伏毛紫花小升麻	属	升麻属
牛排菌	属	牛排菌属
松宝茶	中文名	松宝茶
美神闪蝶	属	闪蝶属
橙黄鸢尾兰	门	被子植物门
豆芽菜（菜名）	分类	凉菜
多点舟蛾	界	动物界
白黄侧耳	纲	担子菌纲
锥鳞白鹅膏菌	亚纲	担子菌亚纲(Homobasidiomycetes)
连翘玉花茶	原料	连翘10g、玉竹3g、绿茶5g
豹（猫科动物）	科	猫科
黑山龙	发音	pronounced)
阿哥芋螺	界	动物界
甘薯蠹野螟	科	螟蛾科
金佛铁线莲	纲	双子叶植物纲
乌桕	目	大戟目
大花鹤顶兰	中文学名	大花鹤顶兰
楝星天牛	分布区域	西藏
罗德里格斯渡渡鸟	亚科	渡渡鸟亚科
川黔润楠	拉丁学名	MacLzilus chuanchienensis
雅鱼（鲤形目鲤科鱼类）	目	鲤形目 Cypriniformes
索马里中华宝螺	界	动物界
红灯（水果名）	分布区域	辽宁
枇杷（水果）	拉丁学名	Eriobotrya japonica (Thunb.) Lindl.
球桂	科	木犀科
蓝金花虫	门	节肢动物门
巴氏铁线莲	拉丁学名	Clematis bartlettii Yamamoto
高沙深山锹形虫	科	锹形虫科 LucanidaeLatreille,1804
巴西宝螺	种	坚果宝螺
台湾星三线蝶	中文学名	台湾星三线蝶
拟胸须夜蛾	体态特征	小型，翅面灰褐色
胁骨龙	别称	Flank bone Dragon
台湾黑金龟	拉丁学名	Holotrichia plumbea
喙金环宝螺	目	中腹足目
多脉鹅耳枥	界	植物界
十二卷	纲	单子叶植物纲
火祭（植物）	亚科	景天亚科
楝星天牛	分布区域	江苏
兀鲁夜蛾	界	动物界
桢楠树	目	樟目
东北钩丝壳	分布区域	中国
黑足角胸肖叶甲	门	节肢动物门
圣女果	族	茄族
念珠菌	拉丁学名	Nostoc
国鸟	首定鸟种	白头海雕
威玛猎犬	中文学名	威玛猎犬
红色链霉菌13A	孢子性状	孢子丝直。孢子柱形
姬红蛱蝶	目	鳞翅目
四川驼花天牛	亚科	花天牛亚科
孔雀龙（一种鱼类）	别称	柄斑海猪鱼
宽距翠雀花	亚科	金莲花亚科
毛边异丽金龟	门	节肢动物门
金娃娃（海江洄游性的温水性底栖鱼类）	英文名称	Spotted green pufferfish
愈带蜓尾花天牛	亚门	六足亚门
狭序唐松草	纲	双子叶植物纲
TrojanDropper.Agent.ams	中文名	TrojanDropper.Agent.ams
小尖囊兰	纲	单子叶植物纲
长梗翠雀花	亚属	翠雀亚属
囊孔菌	亚纲	同担子菌亚纲
查氏宝螺	目	中腹足目
酸苔菜	亚科	紫金牛亚科 Myrsinoideae
瀑泉茶	特点	外形紧秀匀整，色泽嫩绿油润
夏威夷芋螺	科	芋螺科
银鱼（动物）	中文学名	银鱼
雪鸮	别称	白鸮
光序乌头	亚科	金莲花亚科
栎绿尺蛾	科	尺蛾科
戏髯须夜蛾	纲	昆虫纲
蓝亮肖叶甲	门	节肢动物门
麻桐树	界	植物界
十五星裸瓢虫	门	节肢动物门 Arthropoda
资中塔罗科血橙	科	资中塔罗
喜马拉雅雪松	别称	雪松
黄眉柳莺西北亚种	科	鹟科
覆舟山小斑裳凤蝶	命名人和时间	Boisduval, 1836
绒毛叶轮木	种	绒毛叶轮木
脊髓灰质炎减毒活疫苗糖丸（人二倍体细胞）	用途分类	病毒类疫苗
圆南极骨螺	科	古螺科
血细胞	直径	6-9.5μm
雪菜（蔬菜）	分布区域	湖南
吃鱼（小游戏）	主要食材	鱼
脂环酸芽孢杆菌属	中文名	脂环酸芽孢杆菌属
韭萤叶甲	目	鞘翅目
金头紫沙尺蛾	亚纲	有翅亚纲
黑跗眼天牛	分布区域	四川
斐济海蛳螺	界	动物界
虹鳟鱼	英文名称	rainbowtrout
云南银莲花	族	银莲花族
草狗	拉丁学名	Grass dog
佛兰德斯的狗（英国奥维达小说）	开本	32
变色龙（现实意义）	中文名	变色龙
真菌	门	真菌门
翘鳞肉齿菌	分布	新疆
红嘴钩嘴鹛滇南亚种	科	鹟科
波状薄孔菌	中文名	波状薄孔菌
尖塔海蛳螺	目	中腹足目
白绒鬼伞	亚纲	同担子菌亚纲
雪莲（景天科石莲花属多肉植物）	科	景天科
台湾棋石小灰蝶	亚目	锤角亚目
棕颈钩嘴鹛长江亚种	拉丁学名	Pomatorhinus ruficollis styani
钝吻鲑	界	动物界
匙苞翠雀花	属	翠雀属
大叶黄杨长毛斑蛾	属	Prgeria
叶甲	界	动物界
铁刀木树	种	铁刀木树
青克平	别称	chinkapin
朱兰（兰科植物）	族	树兰族
楝星天牛	分布区域	台湾
乳翅卷野螟	中文学名	乳翅卷野螟
狐茅柄锈菌	分布区域	中国
脊鞘粗角跳甲	中文学名	脊鞘粗角跳甲
枇杷瘤蛾	亚纲	有翅亚纲
垂枝樱	二名法	Cerasus subhirtella
细毛香菇	中文学名	细毛香菇
混子（鱼类）	纲	辐鳍鱼纲
小叶栾树	目	无患子目
乳杆菌	中文学名	乳杆菌
相思鸟（鸟类）	分类	银耳相思鸟和红嘴相思鸟
对纷舟蛾	属	对纷舟蛾属
开普狮	中文学名	开普狮
枝生微皮伞	纲	层菌纲
鹡鸰属	亚纲	今鸟亚纲
粘盖环锈伞	亚门	担子菌亚门
银鱼（动物）	英文名称	salangid
水蚺（动物水蟒）	别称	水蟒
沟腹小花天牛	界	动物界
南湖斑叶兰	界	植物界
极美姬花天牛	亚纲	有翅亚纲
高砂姬花天牛	界	动物界
金焰笛鲷	界	动物界
高粱紫轮病	病原分类地位	半知菌亚门
野猫（猫科动物）	英文名称	Wildcat
路雪苔蛾	拉丁学名	Cyana adita(Moore，1859)
伊犁乌头	中文学名	伊犁乌头
红绿灯（热带鱼类名称）	别名	红灯鱼
纹枯病	病原拉丁学名	Thanatephorus cucumeris (Frank) Donk.
红橙小单孢菌	属	小单孢菌属
笑翠鸟（鸟纲翠鸟科鸟类）	目	佛法僧目
尖唇鸟巢兰	种	尖唇鸟巢兰
似鲇高原鳅	纲	硬骨鱼纲
鹦鹉鹦嘴鱼	科	鹦嘴鱼科 Scaridae
蜥脚类恐龙	门	脊索动物门
鳡鱼（动物）	目	鲤形
微心叶毛柃	纲	双子叶植物纲
陈姜茶	中文名	陈姜茶
小沼兰	目	微子目
花八哥	属	八哥属
蓝花楹	别名	巴西紫葳
冬青大蚕蛾	界	动物界
番茄丛矮病毒病	中文学名	番茄丛矮病毒病
永远在一起（我曾有一只名叫阿丑的狗）	类型	狗狗小说
分枝杆菌科	外文名称	Mycobacterium
赤芝	分布区域	中国主要产于华东
新鳚	科	鼬鳚科
赛州黄檀	科	豆科
屏东木姜子	门	被子植物门
Worm.LovGate.w	病毒类型	蠕虫
瘤孢地菇	中文学名	瘤孢地菇
蓝宝石（多肉植物）	亚纲	原始花被亚纲
丹尼尔（多肉植物）	属	拟石莲花属
斑腰单孔鲀	别称	气泡鱼
下载者VBS13056	病毒长度	13056
黄花尖萼耧斗菜	纲	双子叶植物纲 Dicotyledoneae
粗裂宽距翠雀花	目	毛茛目
渡渡鸟（已灭绝鸟类）	纲	鸟纲
蓝翅八色鸫	目	雀形目
野桐单囊壳	目	白粉菌目
蟒（爬行动物）	分布区域	尼泊尔
细叶白头翁	科	毛茛科
巴西红耳龟	中文学名	红耳龟
弹头螺	界	动物界
多脉鹅耳枥	种	多脉鹅耳枥
短柱银莲花	拉丁学名	Anemone brevistyla Chang ex W. T. Wang
毛果甘青乌头	纲	双子叶植物纲
大杨桐	目	侧膜胎座目
毛茛铁线莲	中文学名	毛茛铁线莲
长圆筒金花虫	界	动物界
南湖毛茛	分布区域	产我国台湾
珍珠马甲	中文学名	珍珠马甲
棕头钩嘴鹛滇南亚种	定名人及年代	Walden
壁虎（爬行动物）	亚门	脊椎动物亚门
褐毛铁线莲	拉丁学名	ClematisfuscaTurcz.
大斑啄木鸟华北亚种	种	大斑啄木鸟
铁锈芋螺	科	芋螺科
黄松盆距兰	种	黄松盆距兰
渡渡鸟（已灭绝鸟类）	二名法	Raphus cucullatus
丘比特（多肉植物）	科	景天科
茶紫根腐病	病原	匐灿球赤壳菌
宽苞阴地翠雀花	纲	双子叶植物纲
花八哥	门	脊索动物门
刚松	别称	硬叶松
红艳天牛	纲	昆虫纲
白鹭（白鹭属鸟类的统称）	种	13种
叉枝唐松草	种	叉枝唐松草
沙冷杉	属	冷杉属
短瓣兰	界	植物界
垦丁小灰蝶	界	动物界
长须阔蕊兰	科	兰科
古法小单孢菌	中文名	古法小单孢菌
褐翅燕鸥西印度洋亚种	种	褐翅燕鸥
卵头鲨鳕	属	卵头鲨鳕属
克伦伯犬	亚纲	兽亚纲
甜菜螟	属	白带野螟属
金黄硬皮马勃	亚门	担子菌亚门
石梓	亚纲	合瓣花亚纲
细花铁线莲	中文学名	细花铁线莲
苹果蠧蛾	界	动物界
广西舌唇兰	门	被子植物门
青带凤蝶	亚纲	有翅亚纲
白鹭（白鹭属鸟类的统称）	中文学名	白鹭
勺嘴鹬	英文名称	Spoon-billed Sandpiper
勐腊铁线莲	命名者及年代	M. C. Chang.，1980
飓风芋螺	科	芋螺科
小黄鱼	命名者及年代	(Bleeker，1877
鼎湖铁线莲	科	毛茛科
所罗门芋螺	种	所罗门芋螺
毛叶高山唐松草	界	植物界
埃尼克芋螺	中文学名	埃尼克芋螺
柚木	亚科	牡荆亚科
壁虎（爬行动物）	别称	天龙
黑枕黄鹂	门	脊索动物门
斑螟蛾	中文学名	斑螟蛾
覆盆子	目	蔷薇目
鳄鱼（爬行动物）	亚门	脊椎动物亚门 Vertebrata
金枝国槐	门	被子植物门
隆顶负泥虫	分布区域	山西等地
长苞美冠兰	种	长苞美冠兰
阴生红门兰	属	红门兰属
灰林鵖指名亚种	定名人及年代	G.R.Gray,1846
大银鱼	英文名称	Silver fish
长尾鲨属	纲	软骨鱼纲
红豆杉（中国特有树种）	门	裸子植物门
合欢树（豆科、合欢属乔木）	种	合欢
黄河鲤	纲	硬骨鱼纲
台湾火烧兰	纲	单子叶植物纲
恐龙探秘（2007年大卫·克拉克、贝雷·西雷克导演电影）	类型	纪录片
灰林鵖	命名人及年代	Gray
阿里山红茶	产地	台湾 阿里山区
黑足角胸肖叶甲	纲	昆虫纲
楸螟	拉丁学名	Omphisa plagialis Wileman
金波子	原产地	哥伦比亚
雾鸟（天堂鸟）	别名	风鸟
日本全唇兰	纲	单子叶植物纲
多根乌头	纲	双子叶植物纲
褐足角胸叶甲	科	肖叶甲科
玉米干腐病	界	真菌界
双齿角胸肖叶甲	门	节肢动物门Arthropoda
凸孔阔蕊兰	目	微子目
厚叶厚皮香	种	厚叶厚皮香
夜鸦（一种鸟类）	外文名称	[night crow
芝麻宝螺	拉丁学名	Ransoniella punctata punctata
鳇鱼	界	动物界
中唇弓鱼	目	鲤形目
西猴绢蝶巴颜亚种	亚目	锤角亚目
剑齿虎（史前大型猫科动物）	别称	旧译名短剑剑齿虎，短剑虎
羞怯鹦鹉	拉丁学名	Psittacella modesta
长叶钗子股	命名者及年代	Rchb. f, 1863
白斑尾柳莺指名亚种	纲	鸟纲
四川驼花天牛	种	四川驼花天牛
光樟肖叶甲	纲	昆虫纲
乌鶲	亚纲	今鸟亚纲
飞龙鸟	门	脊索动物门(Phylum Chordata)
大黄鱼（鱼类的一种）	属	黄鱼属
贵族狗寻根记	开本	32
大斑啄木鸟新疆亚种	亚种	大斑啄木鸟新疆亚种
白唇槽舌兰	目	微子目
紫金鹊	栖息地	低山常绿阔叶林
叉唇角盘兰	亚科	兰亚科
荏弱毛茛	目	毛莨目(Ranunculales)
毒滑锈伞	亚纲	同担子菌亚纲
长笋蟹守螺	命名者	Bruguiere, 1792
黄花美冠兰	属	美冠兰属
剑叶鸢尾兰	科	兰科
暹罗猫（猫科动物）	繁殖方式	胎生
十姊妹（燕雀目金腹科鸟类）	中文学名	十姊妹
红天蛾	门	节肢动物门 Arthropoda
芝麻宝螺	门	软体动物门
密苏里游动放线菌黄色变种	定名人	胡继兰 解美玉 吕婉瑜
皱叶铁线莲	拉丁学名	ClematisuncinataChamp. var.coriaceaPamp.
碘化丙啶	化学式	C27H34I2N4
智利火烈鸟	目	红鹳目
链霉菌ETH625	类型	真菌类物种
覆舟山小斑裳凤蝶	科	凤蝶科
山东银莲花	中文学名	山东银莲花
帝王笔螺	命名时间	1798年
松柏长青茶	荣誉	台湾十大名茶之一
峨眉鹅耳枥	亚组	多脉鹅耳枥亚
黑缘美苔蛾	亚纲	有翅亚纲
中华倒刺鲃	拉丁学名	Spinibarbus sinensis (Bleeker,1871)
Win32.Troj.Lineage.ud	处理时间	2006-08-09
粗唇高原鳅	门	脊索动物门
企鹅（动物名称）	科	企鹅科
安哥洛卡象龟	亚门	脊椎动物亚门
山芙蓉	界	植物界
玉带凤蝶	亚目	锤角亚目
阳坝毛尖茶	类别	饮品
盾皮鱼	纲	盾皮鱼纲
小兔子	特点	制造者低龄化
纺锤骨螺	纲	腹足纲
宽萼圆锥铁线莲	目	毛茛目
锈毛铁线莲	纲	双子叶植物纲
三尾褐凤蝶	分布区域	分布在西藏、云南、四川、陕西。
琴冥尺蛾	种	琴冥尺蛾
长嘴钩嘴鹛海南亚种	定名人及年代	1903
双蕊兰	目	微子目
锐裂银莲花	拉丁学名	Anemone laceratoincisa W T Wang
大闪夜蛾	界	动物界
花脊玉米卷管螺	属	玉米卷管螺属
大瓣毛茛	族	毛茛族
微红鼠灰链霉菌	中文学名	微红鼠灰链霉菌
桃红侧耳	拉丁学名	Pleruotus salmoneostramineus L. Vass.
云南核果茶	别名	云南石笔木
夏威夷芋螺	目	新腹足目
郭胜枝宝螺	中文学名	郭胜枝宝螺
黑条细花天牛	目	鞘翅目
木槿生尾孢	科	黑霉科
桢楠树	中文学名	桢楠树
猫（食肉目猫科动物）	门	脊索动物门
四大家鱼	种类	草鱼
山杏	中文学名	山杏
流量监控	途径	流量监控软件
榔榆	拉丁学名	Ulmus parvifolia Jacq.
淡网尺蛾	中文学名	淡网尺蛾
椆琼楠	亚科	樟亚科
白绵毛兰	纲	单子叶植物纲
欧绒鸭	英文名称	Eider
翠峰	外文名称	Cuifeng Tea
窄叶半枫荷	分布区域	越南
宽柄铁线莲	种	宽柄铁线莲
鸟足毛茛	门	被子植物门
翘鳞肉齿菌	中文名	翘鳞肉齿菌
石虎（猫科动物）	中文学名	豹猫
兴光裳夜蛾	界	动物界
微心叶毛柃	分布区域	云南东南部
夏威夷暗鸫	种	夏威夷暗鸫
双蕊兰	亚科	兰亚科
台湾褶缘野螟	中文学名	台湾褶缘野螟
矮小草菇	分布区域	山西
酸柑子	界	植物界
黑尾地鸦	界	动物界
足柱兰	命名者及年代	Rchb. f.， 1855
华北乌头	界	植物界
粗柄蘑菇	目	伞菌目
雨燕（雨燕科通称）	分布区域	世界性分布
黑边公子小丑	二名法	Amphiprioninae
黄笔螺	拉丁学名	Mitra pellisserpentis
椎鳞鱼属	门	脊索动物门Chordata
海带烩黄豆	口味	鲜美
硬叶山兰	门	被子植物门
红玉海棠	目	蔷薇目
角药偏翅唐松草	纲	双子叶植物纲Dicotyledoneae
毛唇独蒜兰	目	微子目
龋齿罗氏菌	DNA内GC含量	65.4—69.7%。
长喙唐松草	目	毛茛目
长梗翠雀花	亚科	金莲花亚科
豆芽菜（菜名）	分类	小豆芽
云树（藤黄科、藤黄属乔木）	拉丁学名	GarciniacowaRoxb.
山水芋螺	科	芋螺科
高茎毛兰	亚科	兰亚科
乌桕	门	被子植物门
绒毛叶轮木	族	花戟族
大根槽舌兰	种	大根槽舌兰
W32.Netsky.X@mm	感染长度	26,112 bytes
掌裂毛茛	科	毛茛科(Ranunculaceae)
猎豹（猫科动物）	科	猫科
中华鸢尾兰	目	微子目
非洲狮（大型猫科动物）	平均寿命	25岁
半环华花天牛	亚科	花天牛亚科
火炬兰	属	火炬兰属
正合降压茶	适宜人群	调节血压，血压偏高者，高血压患者
松乳菇	亚纲	伞菌亚纲Agaricomycetidae
滇石栎	分布区域	中国云南、贵州、四川
斑头鸭	门	脊索动物门
忍冬尺蛾	分布地域	湖南
侧脊角胸肖叶甲	亚目	肉食亚目
橙黄鹅膏菌	界	真菌界
蓝楹	中文学名	蓝楹
单核细胞增生李斯特氏菌	门	厚壁菌门
血红密孔菌	中文学名	血红密孔菌
鸽（鸽子）	科	鸠鸽科
花八哥	亚门	脊椎动物亚门
黑条拟瘦花天牛	中文学名	黑条拟瘦花天牛
祁门功夫红茶	中文名	祁门功夫红茶
斑马鱼	科	鲤科 Cyprinidae
朝氏薄翅金花虫	命名者及年代	Chujo, 1962
滇西槽舌兰	科	兰科
始祖鸟（已灭绝的羽毛恐龙）	食性	肉食
展毛弯喙乌头	纲	双子叶植物纲
台湾红门兰	中文学名	台湾红门兰
广东石斛	中文学名	广东石斛
漠斑牙鲆	别称	美国漠斑牙鲆
细茶	品种	乌龙茶
天台铁线莲	分布区域	产于浙江东部（天台山、北雁荡山）。
六道木白粉菌	中文学名	六道木白粉菌
锡兰莲	目	毛莨目(Ranunculales)
革叶木瓜红	高	约20—26米
白鹡鸰西南亚种	亚种	白鹡鸰西南亚种
草莓干	目	蔷薇目
金佛铁线莲	亚纲	原始花被亚纲
腾冲栲	界	植物界
传奇截密者	外文名称	Trojan.Lmir.WhBoy.l
娜塔栎	分布区域	北美
滇楸	分布区域	湖南
美洲白鹮	属	美洲鹮属
乌鸦（雀形目鸦科鸟类）	科	鸦科
吊丝虫	科	菜蛾科
酸柑子	纲	双子叶植物纲
簇生离褶伞	亚门	担子菌亚门
百眼宝螺	目	中腹足目
蓝松（多肉植物）	分布区域	南非海角
台湾盆距兰	科	兰科
蓝匙叶银莲花	纲	双子叶植物纲
毛窄叶柃	科	山茶科
小叶栲	属	栲属
丽江铁线莲	族	银莲花族
毒红菇	分布区域	福建
长杆树须鱼	特点	体色为黑色。体长可达9厘米
大红鹳	别名	红鹤
冬片茶	口感	冬水味及高山茶特有的冷韵味。
蓝角胸肖叶甲	别称	Blue Angle chest plagiodera shaw
大白鲨（海洋软骨鱼纲生物）	纲	软骨鱼纲
南湖斑叶兰	门	被子植物门
荏弱毛茛	分布区域	印度
石仙桃（兰科石仙桃属植物）	命名者及年代	Lindl., 1847
枇杷（水果）	别称	芦橘
红珍珠（金鱼）	界	动物界
尖叶火烧兰	种	尖叶火烧兰
黑条拟瘦花天牛	种	黑条拟瘦花天牛
多环斑节海龙	界	动物界
普洱姜茶	主要原料	普洱茶
竹叶铁线莲	科	毛茛科
大白菜	亚种	大白菜
银灰金星尺蛾	科目	尺蛾科
双白毛漆尺蛾指名亚种	种	双白毛漆尺蛾
狭叶山兰	族	树兰族
帝汶林鵖	门	脊索动物门
小黑花天牛	中文学名	小黑花天牛
红嘴钩嘴鹛滇南亚种	中文学名	红嘴钩嘴鹛滇南亚种
真藓目	亚纲	真藓亚纲
横凹齿胸肖叶甲	门	节肢动物门
kuba	生活环境	喜光，对水分要求较高
豆微小卷蛾	科	卷蛾科
黄宝螺	拉丁学名	Monetaria moneta moneta
长茎枝瑚菌	拉丁学名	Ramaria longicaulis (Pk.) Corner
火炬树	目	无患子目
石斛瓜蒌茶	中文名	石斛瓜蒌茶
柳瓢金花虫	界	动物界
两点锯锹形虫	中文学名	两点锯锹形虫
红柄柄锈菌	分布区域	日本
高砂锯锹形虫	中文学名	高砂锯锹形虫
乌鶲	门	脊索动物门
花带芋螺	纲	腹足纲
泛尺蛾	门	节肢动物门
原天麻	目	微子目
枯叶骨螺	中文名	枯叶骨螺
阿富汗链霉菌	成分	木糖
阿特兰蒂科镶边芋螺	命名者	Afonso, C.M.L. & M.J. Tenorio,
黑足类花天牛	门	节肢动物门
大眉纹天蚕蛾	门	节肢动物门
玉米叶鞘紫斑病	中文学名	玉米壳二孢
小舌唇兰	亚属	舌唇兰亚属
高砂深山锹形虫	纲	昆虫纲
雷文干朽菌	中文名	雷文干朽菌
